hotel_id,instagram_handle,hotel_name,root_domain,website,followers_count,er_median,posts_last_90d,ownership,hotels_sharing_domain,accreditations,sources,country,region,tracked
170,hoteldeparismc,Hôtel de Paris Monte-Carlo,montecarlosbm.com,https://www.montecarlosbm.com/en/hotel-monaco/hotel-paris-monte-carlo,178064,0.228,38,independent-deep-path,1,Forbes Five-Star; World's 50 Best Hotels,"Forbes, World's 50 Best",Monaco,Europe,yes
53,castelfalfi,Castelfalfi,castelfalfi.com,https://www.castelfalfi.com/,293521,0.269,24,independent,1,Forbes Five-Star; Condé Nast Gold List,"Forbes, Gold List",Italy,Europe,yes
311,hotel_santa_caterina,Santa Caterina,hotelsantacaterina.it,https://www.hotelsantacaterina.it/en/,213187,0.277,44,independent-deep-path,1,Condé Nast Gold List,Gold List,Italy,Europe,yes
7,akelarrehotel,Akelarre,akelarre.net,https://akelarre.net,19392,0.299,9,independent,1,Condé Nast Gold List,Gold List,Spain,Europe,no
28,borgosantopietro,Borgo Santo Pietro,borgosantopietro.com,https://borgosantopietro.com/,596946,0.317,34,independent,1,,Manual add,Italy,Europe,yes
200,lesirenuse,Le Sirenuse,sirenuse.it,https://sirenuse.it/en/,539192,0.319,24,independent-deep-path,1,Forbes Five-Star,Forbes,Italy,Europe,yes
275,passalacqualakecomo,Passalacqua,passalacqua.it,https://www.passalacqua.it/en/,293584,0.339,16,independent-deep-path,1,Condé Nast Gold List; World's 50 Best Hotels,"Gold List, World's 50 Best",Italy,Europe,yes
85,fairmont_hotelvierjahreszeiten,Fairmont Hotel Vier Jahreszeiten,hvj.de,https://hvj.de/en/,58441,0.375,11,independent-deep-path,1,Condé Nast Gold List,Gold List,Germany,Europe,no
289,ritzparis,Ritz Paris,ritzparis.com,https://www.ritzparis.com/,990462,0.386,31,independent,1,Forbes Five-Star,Forbes,France,Europe,yes
372,themaybourneriviera,The Maybourne Riviera,maybourneriviera.com,https://www.maybourneriviera.com/,166520,0.410,34,independent,1,Forbes Five-Star,Forbes,France,Europe,yes
146,hotelhasslerroma,Hassler Roma,hotelhasslerroma.com,https://www.hotelhasslerroma.com/,37165,0.412,23,independent,1,Forbes Five-Star,Forbes,Italy,Europe,no
137,grandhotelstockholm,Grand Hôtel,grandhotel.se,https://grandhotel.se/en,41436,0.425,5,independent-deep-path,1,Condé Nast Gold List,Gold List,Sweden,Europe,no
17,ashfordcastle,Ashford Castle,ashfordcastle.com,https://ashfordcastle.com,147341,0.427,41,independent,1,Forbes Five-Star; Michelin Two Keys,Forbes,Ireland,Europe,yes
164,sacherhotels,Hotel Sacher Wien,sacher.com,https://www.sacher.com/en/vienna/,95501,0.503,24,independent-deep-path,1,World's 50 Best Hotels,World's 50 Best,Austria,Europe,yes
143,gstaadpalace,Gstaad Palace,palace.ch,https://www.palace.ch/en/,88960,0.504,30,independent-deep-path,1,Condé Nast Gold List,Gold List,Switzerland,Europe,yes
132,gardenagroednerhof,Gardena Grödnerhof,gardena.it,https://www.gardena.it/en/,21038,0.518,6,independent-deep-path,1,Forbes Five-Star,Forbes,Italy,Europe,no
21,badruttspalace,Badrutt's Palace Hotel,badruttspalace.com,https://badruttspalace.com,182263,0.533,20,independent,1,Forbes Five-Star; Condé Nast Gold List,"Forbes, Gold List",Switzerland,Europe,yes
277,portraitfirenze,Portrait Firenze  — Lungarno Collection,lungarnocollection.com,https://www.lungarnocollection.com/portrait-firenze/,12095,0.537,7,independent-deep-path,1,Forbes Five-Star,Forbes,Italy,Europe,no
49,carltoncannes,"Carlton Cannes, a Regent Hotel",carltoncannes.com,https://carltoncannes.com/en/,134272,0.695,30,independent-deep-path,1,Forbes Five-Star,Forbes,France,Europe,yes
273,parkhotelvitznau,Park Hotel Vitznau,parkhotel-vitznau.ch,https://www.parkhotel-vitznau.ch/en/,113295,0.916,11,independent-deep-path,1,Forbes Five-Star,Forbes,Switzerland,Europe,yes
