hotel_id,instagram_handle,hotel_name,root_domain,website,followers_count,er_median,posts_last_90d,ownership,hotels_sharing_domain,accreditations,sources,country,region
69,coworthpark,"Coworth Park, Dorchester Collection",dorchestercollection.com,https://www.dorchestercollection.com/ascot/coworth-park,101549,0.135,28,group,9,Condé Nast Gold List; Michelin Two Keys,Gold List,United Kingdom,Europe
105,fslondon,Four Seasons Hotel London at Park Lane,fourseasons.com,https://www.fourseasons.com/london/,150603,0.136,35,group,44,Forbes Five-Star; Michelin Three Keys,Forbes,United Kingdom,Europe
236,marbellaclubh,Marbella Club,marbellaclub.com,https://www.marbellaclub.com/,192577,0.145,38,independent,1,Condé Nast Gold List,Gold List,Spain,Europe
198,lemeuriceparis,"Le Meurice, Dorchester Collection",dorchestercollection.com,https://www.dorchestercollection.com/paris/le-meurice,1008748,0.158,28,group,9,Forbes Five-Star,Forbes,France,Europe
202,lilyofthevalleyhotel,Lily of the Valley,lilyofthevalley.com,https://www.lilyofthevalley.com/,166561,0.176,39,independent,1,Condé Nast Gold List,Gold List,France,Europe
201,lesrochesrouges,Les Roches Rouges,beaumier.com,https://www.beaumier.com/en/properties/les-roches-rouges-hotel/,107575,0.181,17,group,1,Condé Nast Gold List,Gold List,France,Europe
82,estellemanor,Estelle Manor,estellemanor.com,https://estellemanor.com/,297724,0.187,33,independent,1,World's 50 Best Hotels; Michelin One Key,World's 50 Best,United Kingdom,Europe
414,thesavoylondon,The Savoy,thesavoylondon.com,https://www.thesavoylondon.com/,241655,0.189,29,independent,1,Forbes Five-Star; Michelin Three Keys,Forbes,United Kingdom,Europe
52,casaangelinalifestyle,Casa Angelina,casangelina.com,https://www.casangelina.com/,221447,0.192,30,independent,1,Forbes Five-Star,Forbes,Italy,Europe
335,the_berkeley,The Berkeley,maybourne.com,https://www.maybourne.com/en/hotels/the-berkeley,201761,0.195,30,group,4,Forbes Five-Star; Michelin Two Keys,Forbes,United Kingdom,Europe
215,mo_ritzmadrid,"Mandarin Oriental Ritz, Madrid",mandarinoriental.com,https://www.mandarinoriental.com/en/madrid/hotel-ritz,89488,0.197,38,group,27,Forbes Five-Star,Forbes,Spain,Europe
197,lebristolparis,Le Bristol Paris,oetkerhotels.com,https://www.oetkerhotels.com/hotels/le-bristol-paris/,354046,0.202,43,group,3,Forbes Five-Star; Condé Nast Gold List; World's 50 Best Hotels,"Forbes, Gold List, World's 50 Best",France,Europe
320,sixsensesdourovalley,Six Senses Douro Valley,sixsenses.com,https://www.sixsenses.com/en/hotels-resorts/europe/portugal/douro-valley/,168380,0.204,32,group,2,Condé Nast Gold List,Gold List,Portugal,Europe
195,lareserveparis,La Réserve Paris,lareserve-paris.com,https://www.lareserve-paris.com/en/,151831,0.205,36,group,1,Forbes Five-Star; Condé Nast Gold List,"Forbes, Gold List",France,Europe
88,forestis.dolomites,Forestis,forestis.it,https://www.forestis.it/en,395672,0.210,14,group,1,Condé Nast Gold List,Gold List,Italy,Europe
229,mo_lagodicomo,"Mandarin Oriental, Lago di Como",mandarinoriental.com,https://www.mandarinoriental.com/en/lake-como/blevio,194371,0.212,16,group,27,Forbes Five-Star,Forbes,Italy,Europe
169,rosewoodhoteldecrillon,"Hôtel de Crillon, A Rosewood Hotel",rosewoodhotels.com,https://www.rosewoodhotels.com/en/hotel-de-crillon,241001,0.214,23,group,15,Forbes Five-Star; World's 50 Best Hotels,"Forbes, World's 50 Best",France,Europe
2,theadaremanor,Adare Manor,adaremanor.com,https://www.adaremanor.com,188377,0.224,29,independent,1,Forbes Five-Star; Condé Nast Gold List; Michelin Three Keys,"Forbes, Gold List",Ireland,Europe
24,beaverbrook,Beaverbrook,beaverbrook.co.uk,https://beaverbrook.co.uk,152493,0.230,41,independent,1,Condé Nast Gold List; Michelin Two Keys,Gold List,United Kingdom,Europe
347,theconnaught,The Connaught,maybourne.com,https://www.maybourne.com/en/hotels/the-connaught,302046,0.230,32,group,4,Forbes Five-Star; Condé Nast Gold List; World's 50 Best Hotels; Michelin Three Keys,"Forbes, Gold List, World's 50 Best",United Kingdom,Europe
