hotel_name,instagram_handle,country,lists,followers,visible_like_posts_12mo,posts_90d,median_engagement_rate_pct,breakouts_12mo,score,rank,currently_tracked,recommendation,note
"Four Seasons Hotel George V, Paris",fsgeorgevparis,France,Forbes,461244,41,38,0.353,10,87.7,1,yes,keep,
Santa Caterina,hotel_santa_caterina,Italy,Gold List,213187,39,44,0.277,11,87.7,2,yes,keep,
Claridge's,claridgeshotel,United Kingdom,"Forbes, Gold List, World's 50 Best",532938,43,42,0.260,10,86.7,3,yes,keep,
The Sanctuary at Kiawah Island Golf Resort,kiawahresort,United States,Forbes,88518,41,41,0.576,11,86.3,4,yes,keep,
Le Bristol Paris,lebristolparis,France,"Forbes, Gold List, World's 50 Best",354046,43,43,0.202,13,86.0,5,yes,keep,
Ocean House,oceanhouseri,United States,Forbes,127083,38,40,0.301,11,84.4,6,yes,keep,
The Maybourne Riviera,themaybourneriviera,France,Forbes,166520,22,34,0.410,7,83.2,7,yes,keep,
Four Seasons Resort Maui at Wailea,fsmaui,United States,Forbes,198455,43,43,0.189,10,82.4,8,yes,keep,
The Broadmoor,thebroadmoor,United States,Forbes,88678,38,38,0.395,8,81.6,9,yes,keep,
The Taj Mahal Palace,tajmahalmumbai,India,World's 50 Best,218529,24,38,0.208,8,81.5,10,yes,keep,
Beaverbrook,beaverbrook,United Kingdom,Gold List,152493,36,41,0.230,9,81.0,11,yes,keep,
"Hotel das Cataratas, A Belmond Hotel, Iguassu Falls",belmondhoteldascataratas,Brazil,Forbes,271961,42,36,0.222,11,80.7,12,yes,keep,
Borgo Santo Pietro,borgosantopietro,Italy,Manual add,596946,40,34,0.317,7,80.3,13,yes,keep,
"Cipriani, A Belmond Hotel, Venice",belmondhotelcipriani,Italy,Forbes,127748,39,31,0.483,9,79.8,14,yes,keep,
Cheval Blanc Paris,chevalblancparis,France,"Forbes, World's 50 Best",226055,36,30,0.348,9,78.7,15,yes,keep,
"Carlton Cannes, a Regent Hotel",carltoncannes,France,Forbes,134272,31,30,0.695,11,78.5,16,yes,keep,
"Splendido, A Belmond Hotel, Portofino",belmondhotelsplendido,Italy,Gold List,289427,41,30,0.749,6,78.5,17,yes,keep,
Estelle Manor,estellemanor,United Kingdom,World's 50 Best,297724,39,33,0.187,11,78.2,18,yes,keep,
"Caiman, Pantanal",caimanpantanal,Brazil,Gold List,138204,39,34,0.349,7,77.6,19,yes,keep,
Hôtel de Paris Monte-Carlo,hoteldeparismc,Monaco,"Forbes, World's 50 Best",178064,38,38,0.228,5,77.6,20,yes,keep,
Castelfalfi,castelfalfi,Italy,"Forbes, Gold List",293521,37,24,0.312,12,77.3,21,yes,keep,
"Hotel de Russie, a Rocco Forte Hotel",hotelderussie,Italy,Forbes,136552,36,24,0.526,11,77.3,22,yes,keep,
"Copacabana Palace, A Belmond Hotel",belmondcopacabanapalace,Brazil,World's 50 Best,522252,41,32,0.138,15,77.0,23,yes,keep,
Wynn Las Vegas,wynnlasvegas,United States,Gold List,568779,49,55,0.078,14,77.0,24,yes,keep,
Okada Manila,okadamanila,Philippines,Forbes,92177,37,42,0.275,14,76.7,25,yes,keep,
Blackberry Farm,blackberryfarm,United States,Gold List,330430,43,43,0.112,8,75.7,26,yes,keep,
Hotel Plaza Athénée Paris,plaza_athenee,France,Forbes,1159822,27,20,0.405,8,75.6,27,yes,keep,
Fogo Island Inn,fogoislandinn,Canada,Gold List,107850,43,43,0.346,5,75.6,28,yes,keep,
The Ranch at Rock Creek,theranchatrockcreek,United States,Forbes,217092,29,34,0.183,7,75.5,29,yes,keep,
Hotel du Cap-Eden-Roc,hotelducapedenroc,France,Forbes,381257,41,39,0.397,7,75.1,30,yes,keep,
"Grand-Hôtel du Cap-Ferrat, A Four Seasons Hotel",fscapferrat,France,Forbes,205601,37,30,0.574,5,74.4,31,yes,keep,
"Las Ventanas al Paraíso, A Rosewood Resort",lasventanasalparaiso,Mexico,"Forbes, World's 50 Best",266924,43,48,0.081,10,74.0,32,yes,keep,
Çırağan Palace Kempinski Istanbul,cpkempinski,Turkey,Forbes,166649,43,43,0.230,5,73.9,33,yes,keep,
"Caruso, A Belmond Hotel, Amalfi Coast",belmondhotelcaruso,Italy,Forbes,196813,36,27,0.315,9,73.5,34,yes,keep,
"Le Royal Monceau, Raffles Paris",leroyalmonceau,France,Gold List,185694,38,41,0.118,9,73.2,35,yes,keep,
"Le Meurice, Dorchester Collection",lemeuriceparis,France,Forbes,1008748,38,28,0.165,10,72.9,36,yes,keep,
The Beverly Hills Hotel,bevhillshotel,United States,"Forbes, Gold List",349945,35,19,0.841,6,71.4,37,yes,keep,
Hotel Castello di Reschio,reschio,Italy,Gold List,1629952,42,39,0.102,14,70.8,38,yes,keep,
La Réserve Paris,lareserveparis,France,"Forbes, Gold List",151831,35,36,0.205,6,70.2,39,yes,keep,
Badrutt's Palace Hotel,badruttspalace,Switzerland,"Forbes, Gold List",182263,40,20,0.569,9,69.6,40,yes,keep,
La Mamounia,lamamouniamarrakech,Morocco,World's 50 Best,370669,38,39,0.112,7,69.0,41,yes,keep,
Six Senses Douro Valley,sixsensesdourovalley,Portugal,Gold List,168380,34,32,0.204,5,68.2,42,yes,keep,
Singita Kruger National Park,singita_,South Africa,World's 50 Best,483887,20,21,0.206,7,67.6,43,yes,keep,
The Savoy,thesavoylondon,United Kingdom,Forbes,241655,37,29,0.186,6,67.3,44,yes,keep,
Rockhouse Hotel & Spa,rockhousehotel,Jamaica,Gold List,132213,27,30,0.203,9,66.9,45,yes,keep,
Hotel Sacher Wien,sacherhotels,Austria,World's 50 Best,95501,32,24,0.527,7,66.9,46,yes,keep,
Four Seasons Resort Maldives at Kuda Huraa,fsmaldives,Maldives,Forbes,361102,37,37,0.150,4,66.6,47,yes,keep,
Gstaad Palace,gstaadpalace,Switzerland,Gold List,88960,39,30,0.504,5,65.5,48,yes,keep,
Four Seasons Hotel London at Park Lane,fslondon,United Kingdom,Forbes,150603,40,35,0.136,9,64.0,49,yes,keep,
"Patina Maldives, Fari Islands",patinamaldives,Maldives,Forbes,226186,28,30,0.106,7,64.0,50,yes,keep,
The Little Nell,thelittlenell,United States,Forbes,123931,23,40,0.140,4,63.9,51,yes,keep,
Four Seasons Hotel Firenze,fsflorence,Italy,"Forbes, Gold List, World's 50 Best",219082,39,29,0.696,3,63.6,52,yes,keep,
The Connaught,theconnaught,United Kingdom,"Forbes, Gold List, World's 50 Best",302046,25,32,0.269,3,63.3,53,yes,keep,
The Peninsula Hong Kong,peninsulahongkong,China,"Forbes, Gold List",88536,36,36,0.206,4,63.0,54,yes,keep,
Rosewood Miramar Beach,rosewoodmiramarbeach,United States,Forbes,159987,26,31,0.137,5,62.6,55,yes,keep,
Aman Tokyo,aman_tokyo,Japan,World's 50 Best,166732,34,15,0.852,6,62.5,56,yes,keep,
Rosewood Mayakoba,rwmayakoba,Mexico,Forbes,184172,37,38,0.066,5,62.2,57,yes,keep,
"Cap Juluca, A Belmond Hotel, Anguilla",belmondcapjuluca,Anguilla,Forbes,129847,32,43,0.310,2,62.2,58,yes,keep,
"The Ritz-Carlton, Grand Cayman",ritzcarltongrandcayman,Cayman Islands,Forbes,88767,33,24,0.270,7,61.8,59,yes,keep,
Ritz Paris,ritzparis,France,Forbes,990462,32,31,0.403,2,61.1,60,yes,keep,
Bvlgari Resort Bali,bvlgariresortbali,Indonesia,"Forbes, Gold List",83479,39,31,0.361,4,60.5,61,yes,keep,
La Posta Vecchia,lapostavecchiahotel,Italy,Gold List,87230,27,15,0.503,7,60.4,62,yes,keep,
"Mandarin Oriental, Bangkok",mo_bangkok,Thailand,"Forbes, Gold List, World's 50 Best",102418,22,26,0.352,6,60.2,63,yes,keep,
Amangiri,amangiri,United States,Gold List,646873,34,23,0.181,5,60.1,64,yes,keep,
Rosewood Hong Kong,rosewoodhongkong,China,World's 50 Best,95647,25,20,0.449,5,60.0,65,yes,keep,
Aman Kyoto,aman_kyoto,Japan,Gold List,103778,36,23,0.655,8,59.9,66,yes,keep,
The St. Regis New York,stregisnewyork,United States,Forbes,107615,33,21,0.223,7,59.8,67,yes,keep,
Rosewood São Paulo,rosewoodsaopaulo,Brazil,World's 50 Best,489245,34,17,0.101,9,59.8,68,yes,keep,
The Peninsula New York,thepeninsulanyc,United States,Forbes,83448,37,38,0.110,4,59.6,69,yes,keep,
Crockfords at Resorts World Genting,resortsworldgenting,Malaysia,Forbes,101958,74,74,0.037,7,58.2,70,yes,dead audience,"large following, implausibly low engagement — audience looks bought or dead"
Grand Velas Los Cabos,grandvelascabos,Mexico,Forbes,234992,42,43,0.044,4,57.7,71,yes,dead audience,"large following, implausibly low engagement — audience looks bought or dead"
"Mandarin Oriental Ritz, Madrid",mo_ritzmadrid,Spain,Forbes,89488,35,38,0.197,3,57.6,72,yes,keep,
"Esperanza, Auberge Collection",esperanzaauberge,Mexico,Forbes,116731,43,28,0.384,4,57.5,73,yes,keep,
Cheval Blanc St-Barth,chevalblancstbarth,St Barts,Forbes,92769,33,30,0.355,3,57.5,74,yes,keep,
JOALI Maldives,joalimaldives,Maldives,Forbes,242698,33,32,0.077,5,57.0,75,yes,keep,
The Newt in Somerset,thenewtinsomerset,United Kingdom,Manual add,379991,23,41,0.118,4,56.2,76,yes,keep,
Montage Palmetto Bluff,montagepalmettobluff,United States,Forbes,157934,31,23,0.155,7,56.1,77,yes,keep,
Wilderness Bisate Lodge,wearewilderness,Rwanda,Gold List,206729,33,32,0.274,2,56.0,78,yes,keep,
"Hôtel de Crillon, A Rosewood Hotel",rosewoodhoteldecrillon,France,"Forbes, World's 50 Best",241001,34,22,0.180,5,55.8,79,yes,keep,
"Airelles Gordes, La Bastide",airellesgordes,France,Forbes,139165,37,23,0.488,7,55.5,80,yes,keep,
Jumeirah Burj Al Arab,jumeirahburjalarab,United Arab Emirates,"Forbes, Gold List",1095585,32,8,0.167,8,55.4,81,yes,keep,
Gleneagles,thegleneagleshotel,United Kingdom,Manual add,189311,31,32,0.366,5,54.9,82,yes,keep,
The Dorchester,thedorchester,United Kingdom,Forbes,398795,27,28,0.101,4,54.8,83,yes,keep,
Park Hotel Vitznau,parkhotelvitznau,Switzerland,Forbes,113295,25,11,0.520,6,54.6,84,yes,keep,
The Berkeley,the_berkeley,United Kingdom,Forbes,201761,16,30,0.187,4,54.4,85,yes,keep,
"Mandarin Oriental, Lago di Como",mo_lagodicomo,Italy,Forbes,194371,18,16,0.349,4,54.3,86,yes,keep,
Chatham Bars Inn,chathambarsinn,United States,Forbes,89609,24,30,0.806,2,54.3,87,yes,keep,
"Mandarin Oriental, Bodrum",mo_bodrum,Turkey,Forbes,184142,18,32,0.118,4,54.2,88,yes,keep,
Baccarat Hotel New York,baccarathotels,United States,Forbes,146675,36,27,0.146,5,53.6,89,yes,keep,
Passalacqua,passalacqualakecomo,Italy,"Gold List, World's 50 Best",293584,32,16,0.425,3,53.5,90,yes,keep,
Cheval Blanc Randheli,chevalblancrandheli,Maldives,Forbes,117738,35,32,0.220,7,53.1,91,yes,keep,
The Cloister at Sea Island,seaisland,United States,Forbes,146186,30,32,0.397,1,52.6,92,yes,keep,
The Lodge at Sea Island,seaisland,United States,Forbes,146186,30,32,0.397,1,52.6,93,yes,keep,
"Dorado Beach, a Ritz-Carlton Reserve",doradobeachreserve,Puerto Rico,Forbes,102651,42,39,0.138,3,52.6,94,yes,keep,
"The Ritz-Carlton Maldives, Fari Islands",ritzcarltonmaldives,Maldives,Forbes,244504,24,17,0.177,6,52.4,95,yes,keep,
Four Seasons Resort Hualalai,fshualalai,United States,"Forbes, Gold List",133896,48,45,0.158,3,52.1,96,yes,keep,
Casa Angelina,casaangelinalifestyle,Italy,Forbes,221447,38,30,0.189,8,51.6,97,yes,keep,
Raffles London at The OWO,raffleslondon.theowo,United Kingdom,"Forbes, World's 50 Best",83131,30,27,0.295,9,51.5,98,yes,keep,
Le Sirenuse,lesirenuse,Italy,Forbes,539192,27,24,0.328,2,51.3,99,yes,keep,
Lime Wood,limewoodhotel,United Kingdom,Gold List,104135,48,49,0.107,2,51.1,100,yes,keep,
Hotel Bel-Air,hotelbelair,United States,World's 50 Best,120215,34,20,0.345,3,50.6,101,yes,keep,
Rosewood San Miguel de Allende,rosewoodsanmiguel,Mexico,Forbes,116572,22,26,0.139,3,50.4,102,yes,keep,
Jumeirah Al Naseem,jumeirahalnaseem,United Arab Emirates,Forbes,202359,33,25,0.078,10,49.8,103,yes,keep,
Four Seasons Resort Bali at Jimbaran Bay,fsbali,Indonesia,Forbes,204382,42,42,0.087,2,49.7,104,yes,keep,
Four Seasons Resort Bali at Sayan,fsbali,Indonesia,Forbes,204382,42,42,0.087,2,49.7,105,yes,keep,
Jumeirah Marsa Al Arab,jumeirahmarsaalarab,United Arab Emirates,World's 50 Best,119680,36,19,3.419,2,49.2,106,yes,keep,
Adare Manor,theadaremanor,Ireland,"Forbes, Gold List",188377,24,29,0.224,5,49.0,107,yes,keep,
JOALI BEING,joalibeing,Maldives,Forbes,161630,39,38,0.070,3,48.8,108,yes,keep,
The Goring,thegoring,United Kingdom,Forbes,114333,31,8,0.355,6,48.5,109,yes,keep,
Sterrekopje Farm,sterrekopjefarm,South Africa,Gold List,64553,30,27,0.373,2,48.5,110,no,keep,
Beach Club at The Boca Raton,thebocaraton,United States,Forbes,148418,34,32,0.222,3,47.7,111,yes,keep,
Yacht Club at The Boca Raton,thebocaraton,United States,Forbes,148418,34,32,0.222,3,47.7,112,yes,keep,
Tierra Patagonia,tierrahotels,Chile,Gold List,149386,27,12,0.141,6,47.2,113,yes,keep,
LUX* South Ari Atoll,luxsouthari,Maldives,Forbes,467445,34,17,0.070,8,46.5,114,yes,keep,
Hurawalhi Island Resort,hurawalhi,Maldives,Forbes,248282,37,32,0.099,4,46.4,115,yes,keep,
One&Only Reethi Rah,ooreethirah,Maldives,Forbes,263385,34,21,0.090,5,46.2,116,yes,keep,
Address Beach Resort Dubai,addressbeachresort,United Arab Emirates,Forbes,224660,35,12,0.084,7,45.8,117,yes,keep,
Salamander Middleburg,salamanderresort,United States,Forbes,136239,34,38,0.050,2,44.9,118,yes,keep,
The Brando,thebrandoresort,French Polynesia,"Forbes, Gold List",148023,31,26,0.192,3,44.9,119,yes,keep,
Four Seasons Astir Palace Hotel Athens,fsathens,Greece,"Forbes, Gold List, World's 50 Best",120869,37,29,0.532,1,44.9,120,yes,keep,
Hassler Roma,hotelhasslerroma,Italy,Forbes,37165,30,23,0.396,3,44.8,121,no,keep,
Eden Rock - St Barths,er_stbarths,St Barts,Forbes,123163,12,25,1.069,1,44.5,122,yes,keep,
Nay Palad Hideaway,naypalad,Philippines,Gold List,126389,21,22,0.111,4,44.0,123,yes,keep,
Hotel Il Pellicano,hotelilpellicano,Italy,"Forbes, Gold List, World's 50 Best",226223,24,8,0.416,3,43.5,124,yes,keep,
Lily of the Valley,lilyofthevalleyhotel,France,Gold List,166561,41,39,0.176,3,43.5,125,yes,keep,
Forestis,forestis.dolomites,Italy,Gold List,395672,25,14,0.273,3,42.8,126,yes,keep,
"Mandarin Oriental, New York",mo_newyork,United States,"Forbes, Gold List",157662,22,34,0.082,2,42.6,127,yes,keep,
The Mark,themarkhotelny,United States,World's 50 Best,100164,36,36,3.199,0,41.7,128,yes,keep,
Les Roches Rouges,lesrochesrouges,France,Gold List,107575,33,17,0.217,6,41.7,129,yes,keep,
Four Seasons Hotel Madrid,fsmadrid,Spain,Forbes,113442,37,30,0.313,1,41.5,130,yes,keep,
"Chileno Bay Resort & Residences, Auberge Collection",chilenobayauberge,Mexico,Forbes,98864,37,30,0.184,2,41.5,131,yes,keep,
Trump International Hotel & Tower Chicago,trumpchicago,United States,Forbes,86117,28,17,0.283,3,41.2,132,yes,keep,
"Four Seasons Resort Punta Mita, Mexico",fspuntamita,Mexico,Forbes,132589,32,26,0.136,3,40.9,133,yes,keep,
Royal Mansour Marrakech,royalmansourmarrakech,Morocco,"Forbes, World's 50 Best",268744,30,11,0.228,2,40.7,134,yes,keep,
The St. Regis Maldives Vommuli Resort,stregismaldives,Maldives,Forbes,222020,29,14,0.123,4,40.5,135,yes,keep,
Raffles Hotel Singapore,raffleshotelsingapore,Singapore,"Forbes, World's 50 Best",93244,17,39,0.146,1,40.1,136,yes,keep,
Waldorf Astoria Maldives Ithaafushi,waldorfastoriamaldives,Maldives,"Forbes, Gold List",343095,28,8,0.133,5,39.1,137,yes,keep,
Palace Hotel Tokyo,palacehoteltokyo,Japan,Forbes,62784,12,10,0.762,3,38.4,138,no,keep,
Post Ranch Inn,postranchinn,United States,Gold List,104401,22,12,0.221,6,38.1,139,yes,keep,
One&Only Mandarina,oomandarina,Mexico,"Gold List, World's 50 Best",312267,32,22,0.052,3,37.5,140,yes,keep,
"Mandarin Oriental, Tokyo",mo_tokyo,Japan,Forbes,108777,26,34,0.159,1,37.3,141,yes,keep,
SUJÁN Jawai,thesujanlife,India,Gold List,109380,19,27,0.350,1,35.8,142,yes,keep,
SUJÁN Sher Bagh,thesujanlife,India,Gold List,109380,19,27,0.350,1,35.8,143,yes,keep,
The Fife Arms,thefifearms,United Kingdom,Gold List,114459,19,29,0.408,0,35.7,144,yes,keep,
Hotel Esencia,hotelesencia,Mexico,Forbes,225448,31,10,0.127,5,35.6,145,yes,keep,
Four Seasons Hotel Seoul,fsseoul,South Korea,Forbes,33154,14,14,0.306,1,34.4,146,no,keep,
Montage Los Cabos,montageloscabos,Mexico,Forbes,114813,35,29,0.158,1,33.5,147,yes,keep,
Kasbah Tamadot,kasbahtamadot,Morocco,Gold List,33262,12,9,0.869,2,33.1,148,no,keep,
Ett Hem,etthemstockholm,Sweden,Gold List,139041,12,2,1.302,0,33.0,149,yes,keep,
Four Seasons Hotel at The Surf Club,fssurfside,United States,Forbes,94193,39,35,0.133,1,32.0,150,yes,keep,
Four Seasons Resort Dubai at Jumeirah Beach,fsdubai,United Arab Emirates,Forbes,156627,39,36,0.117,1,31.6,151,yes,keep,
"Emirates Palace Mandarin Oriental, Abu Dhabi",mo_emiratespalace,United Arab Emirates,Forbes,228965,33,21,0.065,2,31.5,152,yes,keep,
Velaa Private Island,velaaprivateisland,Maldives,Forbes,116158,17,16,0.280,1,30.9,153,yes,keep,
Six Senses Zighy Bay,sixsenseszighybay,Oman,Gold List,146861,31,29,0.093,1,30.6,154,yes,keep,
Mashpi Lodge,mashpilodge,Ecuador,Gold List,127129,38,30,0.105,3,30.4,155,yes,keep,
LUX* Belle Mare,luxbellemare,Mauritius,Forbes,85742,38,21,0.141,3,30.1,156,yes,keep,
Montage Laguna Beach,montagelaguna,United States,Forbes,111777,27,22,0.174,2,29.7,157,yes,keep,
One&Only Le Saint Géran,oolesaintgeran,Mauritius,Forbes,82908,34,20,0.122,2,29.3,158,yes,keep,
Delaire Graff Lodge,delairegraff,South Africa,Forbes,87896,41,36,0.130,2,29.0,159,yes,keep,
Jade Mountain,jademountainstlucia,St Lucia,Gold List,360355,13,40,0.049,1,29.0,160,yes,dead audience,"large following, implausibly low engagement — audience looks bought or dead"
Kudadoo Maldives Private Island,kudadoomaldives,Maldives,Forbes,104375,36,30,0.080,2,28.9,161,yes,keep,
La Casa de la Playa,lacasadelaplaya,Mexico,Forbes,461383,33,27,0.143,0,28.6,162,yes,keep,
Four Seasons Resort and Residences Napa Valley,fsnapavalley,United States,Forbes,52034,12,10,0.217,1,28.1,163,no,keep,
Chablé Yucatán,chableyucatan,Mexico,"Gold List, World's 50 Best",93155,28,32,0.075,3,28.0,164,yes,keep,
Uxua Casa Hotel & Spa,uxua,Brazil,Gold List,113623,31,14,0.160,2,27.3,165,yes,keep,
"Mandapa, a Ritz-Carlton Reserve",mandapareserve,Indonesia,"Forbes, World's 50 Best",100784,23,34,0.105,2,26.7,166,yes,keep,
"Four Seasons Resort Peninsula Papagayo, Costa Rica",fscostarica,Costa Rica,Forbes,136086,47,47,0.090,0,26.7,167,yes,keep,
Four Seasons Hotel Istanbul at the Bosphorus,fsbosphorus,Turkey,Forbes,117266,15,11,0.181,1,26.5,168,yes,keep,
Four Seasons Hotel London at Tower Bridge,fstowerbridge,United Kingdom,Forbes,83493,44,44,0.131,0,26.5,169,yes,keep,
J.K. Place Capri,jkplacecapri,Italy,Forbes,87572,35,14,0.120,4,26.3,170,yes,keep,
Iniala Valletta,inialavalletta,Malta,Forbes,13788,31,28,0.239,0,26.3,171,no,keep,
Four Seasons Resort Palm Beach,fspalmbeach,United States,Forbes,89754,21,12,0.195,1,25.7,172,yes,keep,
Raffles Doha,rafflesdoha,Qatar,"Forbes, Gold List",99861,18,25,0.116,1,25.7,173,yes,keep,
LUX* Grand Baie,luxgrandbaie,Mauritius,Forbes,113396,31,7,0.125,3,25.3,174,yes,keep,
"Mandarin Oriental, Hyde Park, London",mo_hydepark,United Kingdom,Forbes,111571,31,28,0.073,1,24.2,175,yes,keep,
"Maroma, A Belmond Hotel, Riviera Maya",belmondmaroma,Mexico,"Forbes, World's 50 Best",117209,33,20,0.194,0,23.9,176,yes,keep,
Acqualina Resort and Residences on the Beach,acqualinaresort,United States,Forbes,126416,43,46,0.059,0,23.2,177,yes,keep,
One&Only Portonovi,ooportonovi,Montenegro,Forbes,88391,33,21,0.137,1,22.9,178,yes,keep,
"One&Only Palmilla, Los Cabos Resort",oneandonlypalmilla,Mexico,Forbes,157252,33,21,0.084,2,22.6,179,yes,keep,
One&Only Royal Mirage - The Residence,ooroyalmirage,United Arab Emirates,Forbes,142102,33,19,0.102,1,22.5,180,yes,keep,
"Mandarin Oriental Bosphorus, Istanbul",mo_istanbul,Turkey,Forbes,92928,30,39,0.101,0,22.3,181,yes,keep,
Four Seasons Hotel Macao,fsmacau,China,Forbes,9947,15,12,0.281,0,21.6,182,no,keep,
"Coworth Park, Dorchester Collection",coworthpark,United Kingdom,Gold List,101549,38,28,0.126,0,20.2,183,yes,keep,
The Calile,thecalilehotel,Australia,World's 50 Best,138376,35,30,0.073,0,18.4,184,yes,keep,
Four Seasons Hotel Kuwait at Burj Alshaya,fskuwait,Kuwait,Forbes,100631,36,30,0.085,0,17.4,185,yes,keep,
The Resort at Pelican Hill,pelicanhillresort,United States,Forbes,99086,30,13,0.112,1,17.1,186,yes,keep,
Trump Turnberry,trumpturnberryscotland,United Kingdom,Forbes,78704,12,13,0.175,0,16.9,187,no,keep,
"The Ritz-Carlton, Hong Kong",ritzcarltonhongkong,China,Forbes,58221,14,14,0.162,0,16.4,188,no,keep,
Raffles Istanbul,rafflesistanbul,Turkey,Forbes,107761,16,19,0.115,0,15.7,189,yes,keep,
"Mandarin Oriental Jumeira, Dubai",mo_jumeira,United Arab Emirates,Forbes,114536,31,27,0.077,0,15.7,190,yes,keep,
Waldorf Astoria Los Cabos Pedregal,wapedregal,Mexico,Forbes,154733,28,22,0.074,0,15.6,191,yes,keep,
Four Seasons Hotel Toronto,fstoronto,Canada,Forbes,66086,12,12,0.138,0,14.1,192,no,keep,
"Mandarin Oriental, Milan",mo_milan,Italy,Forbes,101320,34,25,0.078,0,13.8,193,yes,keep,
Pan Pacific London,panpacificlondon,United Kingdom,Forbes,60926,12,12,0.097,0,9.2,194,no,keep,
Wynn Palace,wynn.palace,China,Forbes,36711,17,17,0.054,0,7.2,195,no,keep,
Sky Tower at Solaire Resort Entertainment City,solaireresort,Philippines,Forbes,70213,15,15,0.019,0,6.2,196,no,dead audience,"large following, implausibly low engagement — audience looks bought or dead"
Grand Lisboa Palace Macau,grandlisboapalace,China,Forbes,42728,13,13,0.042,0,5.5,197,no,dead audience,"large following, implausibly low engagement — audience looks bought or dead"
Soneva Fushi,soneva,Maldives,World's 50 Best,1370083,5,21,0.051,1,,,yes,drop,only 5 visible-like posts in 12mo
Soneva Jani,soneva,Maldives,Forbes,1370083,5,21,0.051,1,,,yes,drop,only 5 visible-like posts in 12mo
"Atlantis, The Royal",atlantistheroyal,United Arab Emirates,"Forbes, World's 50 Best",637388,3,11,0.190,0,,,yes,drop,only 3 visible-like posts in 12mo
Our Habitas AlUla,habitasalula,Saudi Arabia,Gold List,378288,1,28,1.257,0,,,yes,drop,only 1 visible-like posts in 12mo
Shangri-La Paris,shangrilaparis,France,Forbes,294400,0,32,,0,,,yes,drop,only 0 visible-like posts in 12mo
"Castiglion del Bosco, A Rosewood Hotel",rosewoodcastigliondelbosco,Italy,Forbes,232486,0,41,,0,,,yes,drop,only 0 visible-like posts in 12mo
"The Mulia - Nusa Dua, Bali",themuliabali,Indonesia,Forbes,229198,4,13,0.077,0,,,yes,drop,only 4 visible-like posts in 12mo
Nizuc Resort & Spa,nizucresort,Mexico,Forbes,200864,3,29,0.060,0,,,yes,drop,only 3 visible-like posts in 12mo
The Colony Hotel,thecolonypalmbeach,United States,Gold List,192700,9,19,0.318,0,,,yes,drop,only 9 visible-like posts in 12mo
Marbella Club,marbellaclubh,Spain,Gold List,192577,11,38,0.145,3,,,yes,drop,only 11 visible-like posts in 12mo
Rosewood London,rosewoodlondon,United Kingdom,Forbes,184990,5,26,0.171,0,,,yes,drop,only 5 visible-like posts in 12mo
"The Setai, Miami Beach",thesetaimiamibeach,United States,Forbes,170917,11,27,0.074,0,,,yes,drop,only 11 visible-like posts in 12mo
Four Seasons Resort and Residences Anguilla,fsanguilla,Anguilla,Forbes,169117,0,37,,0,,,yes,drop,only 0 visible-like posts in 12mo
"Mandarin Oriental, Paris",mo_paris,France,Forbes,162834,7,33,0.117,2,,,yes,drop,only 7 visible-like posts in 12mo
"Shangri-La The Shard, London",shangrilalondon,United Kingdom,Forbes,162757,7,27,0.057,1,,,yes,drop,only 7 visible-like posts in 12mo
The Lana,thelanadubai,United Arab Emirates,World's 50 Best,157191,11,28,0.221,2,,,yes,drop,only 11 visible-like posts in 12mo
"Mandarin Oriental, Marrakech",mo_marrakech,Morocco,Forbes,156983,2,28,0.143,0,,,yes,drop,only 2 visible-like posts in 12mo
Ashford Castle,ashfordcastle,Ireland,Forbes,147341,11,41,0.427,2,,,yes,drop,only 11 visible-like posts in 12mo
San Ysidro Ranch,sanysidroranch,United States,Gold List,142817,10,20,0.756,1,,,yes,drop,only 10 visible-like posts in 12mo
Maçakizi,macakizihotel,Turkey,Gold List,106470,3,42,0.295,0,,,yes,drop,only 3 visible-like posts in 12mo
Hôtel du Couvent,hotelducouvent,France,World's 50 Best,89178,0,6,,0,,,yes,drop,only 0 visible-like posts in 12mo
The Dolder Grand,thedoldergrand,Switzerland,Forbes,87584,9,10,0.791,1,,,yes,drop,only 9 visible-like posts in 12mo
Armani Hotel Dubai,armanihoteldxb,United Arab Emirates,Forbes,324849,30,0,0.039,1,,,yes,drop,nothing posted in 90 days
Rosewood Villa Magna,rosewoodvillamagna,Spain,Forbes,81057,3,7,0.181,0,,,no,needs sample scrape,"untracked — data is partial (scraping stopped), cannot judge without a sample scrape"
The St. Regis Abu Dhabi,stregisabudhabi,United Arab Emirates,Forbes,80465,0,4,,0,,,no,needs sample scrape,"untracked — data is partial (scraping stopped), cannot judge without a sample scrape"
Waldorf Astoria Beverly Hills,waldorfbevhills,United States,Forbes,80384,4,3,0.123,0,,,no,needs sample scrape,"untracked — data is partial (scraping stopped), cannot judge without a sample scrape"
The Chedi Andermatt,thechediandermatt,Switzerland,Forbes,80167,8,8,0.113,2,,,no,needs sample scrape,"untracked — data is partial (scraping stopped), cannot judge without a sample scrape"
"Mandarin Oriental The Landmark, Hong Kong",mo_landmarkhk,China,Forbes,78686,3,4,0.117,0,,,no,needs sample scrape,"untracked — data is partial (scraping stopped), cannot judge without a sample scrape"
Four Seasons Hotel New York Downtown,fsnydowntown,United States,Forbes,78312,3,7,0.066,0,,,no,needs sample scrape,"untracked — data is partial (scraping stopped), cannot judge without a sample scrape"
