"Address","Status Code","Title 1","Indexability","Indexability Status"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/flagstaff-cottage/","200","Norfolk Holiday Cottage to rent in Burnham Overy Staithe - Flagstaff Cottage","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/the-old-post-office/","200","Norfolk Holiday Cottage to rent in Sedgeford - The Old Post Office","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/the-dairy-barn/","200","Norfolk Holiday Cottage to rent in Burnham Overy Staithe - The Dairy Barn","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/oak-tree-cottage/","200","Norfolk Holiday Cottage to rent in North Creake - Oak Tree Cottage","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/1-king-william-cottage/","200","Norfolk Holiday Cottage to rent in Docking - 1 King William Cottage","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/flagstaff-boathouse/","200","Norfolk Holiday Cottage to rent in Burnham Overy Staithe - Flagstaff Boathouse","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/1-crarves/","200","Norfolk Holiday Cottage to rent in Docking - 1 Crarves","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/map-search/?start_date=&duration=&sleeps=&dogs=&village=&bedrooms=&bathrooms=&property=&special_offer=yes","200","Map Search - Sowerbys Holiday Cottages","Non-Indexable","noindex"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/the-paddock/","200","Norfolk Holiday Cottage to rent in Stanhoe - The Paddock","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/beehive-cottage/","200","Norfolk Holiday Cottage to rent in Burnham Market - Beehive Cottage","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/eider-cottage/","200","Norfolk Holiday Cottage to rent in Stanhoe - Eider Cottage","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/mandalay/","200","Norfolk Holiday Cottage to rent in Old Hunstanton - Mandalay","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/eton-house/","200","Norfolk Holiday Cottage to rent in Docking - Eton House","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/michaelmas/","200","Norfolk Holiday Cottage to rent in Stanhoe - Michaelmas","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/flagstaff-east/","200","Norfolk Holiday Cottage to rent in Burnham Overy Staithe - Flagstaff East","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/mill-view/","200","Norfolk Holiday Cottage to rent in Harpley - Mill View","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/3-marshland-barns-2-bedrooms/","200","Norfolk Holiday Cottage to rent in Titchwell - 3 Marshland Barns 2 bedrooms","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/2-railway-cottages/","200","Norfolk Holiday Cottage to rent in Burnham Market - 2 Railway Cottages","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/channel-cottage/","200","Norfolk Holiday Cottage to rent in Wells-next-the-sea - Channel Cottage","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/western-cottage/","200","Norfolk Holiday Cottage to rent in South Creake - Western Cottage","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/hill-top-docking/","200","Norfolk Holiday Cottage to rent in Docking - Hill Top Docking","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/eider-cottage-2-bedrooms/","200","Norfolk Holiday Cottage to rent in Stanhoe - Eider Cottage 2 bedrooms","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/the-loft/","200","Norfolk Holiday Cottage to rent in Hunstanton - The Loft","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/4-hare-cottage/","200","Norfolk Holiday Cottage to rent in South Creake - 4 Hare Cottage","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/bridge-farm-barn/","200","Norfolk Holiday Cottage to rent in Warham - Bridge Farm Barn","Indexable",""
