"Address","Occurrences","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","HTTP Canonical","Indexability","Indexability Status"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search/?start_date=&duration=&sleeps=10&dogs=&property=&bedrooms=&bathrooms=&village=","1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search/","","Non-Indexable","Canonicalised"
"https://www.sowerbysholidaycottages.co.uk/holiday-cottage-owner-information/","1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.sowerbysholidaycottages.co.uk/holiday-cottage-owner-information/","","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-features/dogs-accepted/","1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-features/dogs-accepted/","","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/aster-house/","1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/aster-house/","","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/3-the-old-school/","1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/3-the-old-school/","","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/channel-view-and-cottage/","1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/channel-view-and-cottage/","","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/3-marshland-barns/","1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/3-marshland-barns/","","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search/","1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search/","","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/the-dairy-barn-2-bedrooms/","1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/the-dairy-barn-2-bedrooms/","","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/pantiles/","1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/pantiles/","","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/crowberry-barn/","1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/crowberry-barn/","","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/close-cottage/","1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/close-cottage/","","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/sunnyvale/","1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/sunnyvale/","","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/nelson-cottage/","1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/nelson-cottage/","","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/sybil-cottage/","1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/sybil-cottage/","","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/the-old-forge/","1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/the-old-forge/","","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/slumber-barn-5-bedrooms/","1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/slumber-barn-5-bedrooms/","","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/flagstaff-cottage/","1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/flagstaff-cottage/","","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/the-old-post-office/","1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/the-old-post-office/","","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/the-dairy-barn/","1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/the-dairy-barn/","","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/oak-tree-cottage/","1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/oak-tree-cottage/","","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/1-king-william-cottage/","1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/1-king-william-cottage/","","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/flagstaff-boathouse/","1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/flagstaff-boathouse/","","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/1-crarves/","1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/1-crarves/","","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/the-paddock/","1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/the-paddock/","","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/beehive-cottage/","1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/beehive-cottage/","","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/eider-cottage/","1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/eider-cottage/","","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/mandalay/","1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/mandalay/","","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/eton-house/","1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/eton-house/","","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/michaelmas/","1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/michaelmas/","","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/flagstaff-east/","1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/flagstaff-east/","","Indexable",""
