"Site Crawled","https://www.sowerbysholidaycottages.co.uk/"
"Start Date","2026-05-08"
"Start Time","14:17:02"
"Last Modified Date","2026-05-08"
"Last Modified Time","14:18:42"
"Elapsed","00:01:40"
"Report Date","2026-05-08"
"Report Time","14:30:55"
""
"Summary","URLs","% of Total","Total URLs","Total URLs Description"
"Multiple Entries","0","0.00%","353","Internal pages with 2xx response"
"Missing Self Reference","0","0.00%","353","Internal pages with 2xx response"
"Not Using Canonical","0","0.00%","353","Internal pages with 2xx response"
"Missing X-Default","0","0.00%","353","Internal pages with 2xx response"
"Missing","0","0.00%","353","Internal pages with 2xx response"
"Outside <head>","0","0.00%","353","Internal pages with 2xx response"
""
"JavaScript"
"All","353","100.00%","353","Internal HTML pages with 2xx response"
"Pages with Blocked Resources","0","0.00%","353","Internal HTML pages with 2xx response"
"Contains JavaScript Links","0","0.00%","353","Internal HTML pages with 2xx response"
"Contains JavaScript Content","0","0.00%","353","Internal HTML pages with 2xx response"
"Noindex Only in Original HTML","0","0.00%","353","Internal HTML pages with 2xx response"
"Nofollow Only in Original HTML","0","0.00%","353","Internal HTML pages with 2xx response"
"Canonical Only in Rendered HTML","0","0.00%","353","Internal HTML pages with 2xx response"
"Canonical Mismatch","0","0.00%","353","Internal HTML pages with 2xx response"
"Page Title Only in Rendered HTML","0","0.00%","353","Internal HTML pages with 2xx response"
"Page Title Updated by JavaScript","0","0.00%","353","Internal HTML pages with 2xx response"
"Meta Description Only in Rendered HTML","0","0.00%","353","Internal HTML pages with 2xx response"
"Meta Description Updated by JavaScript","0","0.00%","353","Internal HTML pages with 2xx response"
"H1 Only in Rendered HTML","0","0.00%","353","Internal HTML pages with 2xx response"
"H1 Updated by JavaScript","0","0.00%","353","Internal HTML pages with 2xx response"
"Uses Old AJAX Crawling Scheme URLs","0","0.00%","353","Internal HTML pages with 2xx response"
"Uses Old AJAX Crawling Scheme Meta Fragment Tag","0","0.00%","353","Internal HTML pages with 2xx response"
"Pages with JavaScript Errors","0","0.00%","353","Internal HTML pages with 2xx response"
"Pages with JavaScript Warnings","0","0.00%","353","Internal HTML pages with 2xx response"
"Pages with Chrome Issues","0","0.00%","353","Internal HTML pages with 2xx response"
""
"Links"
"All","353","100.00%","353","Internal HTML pages with 2xx response"
"Pages With High Crawl Depth","0","0.00%","353","Internal HTML pages with 2xx response"
"Pages Without Internal Outlinks","0","0.00%","353","Internal HTML pages with 2xx response"
"Internal Nofollow Outlinks","0","0.00%","353","Internal HTML pages with 2xx response"
"Internal Outlinks With No Anchor Text","350","99.15%","353","Internal HTML pages with 2xx response"
"Non-Descriptive Anchor Text In Internal Outlinks","8","2.27%","353","Internal HTML pages with 2xx response"
"Pages With High External Outlinks","278","78.75%","353","Internal HTML pages with 2xx response"
"Pages With High Internal Outlinks","2","0.57%","353","Internal HTML pages with 2xx response"
"Follow & Nofollow Internal Inlinks To Page","0","0.00%","353","Internal HTML pages with 2xx response"
"Internal Nofollow Inlinks Only","0","0.00%","353","Internal HTML pages with 2xx response"
"Outlinks To Localhost","1","0.28%","353","Internal HTML pages with 2xx response"
"Non-Indexable Page Inlinks Only","0","0.00%","353","Internal HTML pages with 2xx response"
""
"AMP"
"All","0","0.00%","0","Internal AMP URLs"
