"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Hash","Length","Canonical Link Element 1","URL Encoded Address"
"https://www.sowerbysholidaycottages.co.uk/inspiration/things-to-do-in-norfolk/","text/html; charset=UTF-8","200","OK","Indexable","","a3d42095634d8c49567c0d5d61bbe557","78","https://www.sowerbysholidaycottages.co.uk/inspiration/things-to-do-in-norfolk/","https://www.sowerbysholidaycottages.co.uk/inspiration/things-to-do-in-norfolk/"
"https://www.sowerbysholidaycottages.co.uk/terms-and-conditions/","text/html; charset=UTF-8","200","OK","Indexable","","60c79f8d37084f751df6ed1b20e5dfe1","63","https://www.sowerbysholidaycottages.co.uk/terms-and-conditions/","https://www.sowerbysholidaycottages.co.uk/terms-and-conditions/"
"https://www.sowerbysholidaycottages.co.uk/wp-includes/js/dist/vendor/wp-polyfill.min.js?ver=3.15.0","application/javascript","200","OK","Indexable","","","98","","https://www.sowerbysholidaycottages.co.uk/wp-includes/js/dist/vendor/wp-polyfill.min.js?ver=3.15.0"
"https://www.sowerbysholidaycottages.co.uk/wp-content/themes/sowerbys-holiday-cottages/js/bootstrap.bundle.min.js","application/javascript","200","OK","Indexable","","","112","","https://www.sowerbysholidaycottages.co.uk/wp-content/themes/sowerbys-holiday-cottages/js/bootstrap.bundle.min.js"
"https://www.sowerbysholidaycottages.co.uk/request-your-free-homeowners-guide/","text/html; charset=UTF-8","200","OK","Indexable","","7c0c5c0ce0f29eb3871e56fa0ef65410","77","https://www.sowerbysholidaycottages.co.uk/request-your-free-homeowners-guide/","https://www.sowerbysholidaycottages.co.uk/request-your-free-homeowners-guide/"
"https://www.sowerbysholidaycottages.co.uk/wp-content/themes/sowerbys-holiday-cottages/css/style.css?ver=1777283309","text/css","200","OK","Indexable","","","114","","https://www.sowerbysholidaycottages.co.uk/wp-content/themes/sowerbys-holiday-cottages/css/style.css?ver=1777283309"
"https://www.sowerbysholidaycottages.co.uk/about-sowerbys-holiday-cottages/","text/html; charset=UTF-8","200","OK","Indexable","","7f2aa61ecb695a5dab9d73fb038a8c10","74","https://www.sowerbysholidaycottages.co.uk/about-sowerbys-holiday-cottages/","https://www.sowerbysholidaycottages.co.uk/about-sowerbys-holiday-cottages/"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected","","72","","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/beachside/","text/html; charset=UTF-8","200","OK","Indexable","","4775c8a060b43db25a35858006d65081","77","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/beachside/","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/beachside/"
"https://www.sowerbysholidaycottages.co.uk/wp-content/plugins/superwp/public/js/superwp-public.js?ver=1.0.0","application/javascript","200","OK","Indexable","","","106","","https://www.sowerbysholidaycottages.co.uk/wp-content/plugins/superwp/public/js/superwp-public.js?ver=1.0.0"
"https://www.sowerbysholidaycottages.co.uk/wp-content/plugins/sidekick-favourites/assets/css/favourites.css?ver=1.0.0","text/css","200","OK","Indexable","","","116","","https://www.sowerbysholidaycottages.co.uk/wp-content/plugins/sidekick-favourites/assets/css/favourites.css?ver=1.0.0"
"https://www.sowerbysholidaycottages.co.uk/wp-content/plugins/contact-form-7/includes/swv/js/index.js?ver=6.1.5","application/javascript","200","OK","Indexable","","","110","","https://www.sowerbysholidaycottages.co.uk/wp-content/plugins/contact-form-7/includes/swv/js/index.js?ver=6.1.5"
"https://www.sowerbysholidaycottages.co.uk/wp-content/plugins/contact-form-7/includes/js/index.js?ver=6.1.5","application/javascript","200","OK","Indexable","","","106","","https://www.sowerbysholidaycottages.co.uk/wp-content/plugins/contact-form-7/includes/js/index.js?ver=6.1.5"
"https://www.sowerbysholidaycottages.co.uk/about-sowerbys-holiday-cottages/our-norfolk-estate-agents/","text/html; charset=UTF-8","200","OK","Indexable","","c2a5005babf13fe53cd3bc4365435df6","100","https://www.sowerbysholidaycottages.co.uk/about-sowerbys-holiday-cottages/our-norfolk-estate-agents/","https://www.sowerbysholidaycottages.co.uk/about-sowerbys-holiday-cottages/our-norfolk-estate-agents/"
"https://www.sowerbysholidaycottages.co.uk/inspiration/norfolk-events/","text/html; charset=UTF-8","200","OK","Indexable","","d7a07c69844f504937278cacf7356568","69","https://www.sowerbysholidaycottages.co.uk/inspiration/norfolk-events/","https://www.sowerbysholidaycottages.co.uk/inspiration/norfolk-events/"
"https://www.sowerbysholidaycottages.co.uk/seasonal-guide-request/","text/html; charset=UTF-8","200","OK","Indexable","","6d9801ce47624b41ab12609b5d76fcfa","65","https://www.sowerbysholidaycottages.co.uk/seasonal-guide-request/","https://www.sowerbysholidaycottages.co.uk/seasonal-guide-request/"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search/alphabetical-list/","text/html; charset=UTF-8","200","OK","Indexable","","403bafa3ab24fb8685477acd756ed4c6","91","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search/alphabetical-list/","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search/alphabetical-list/"
"https://www.sowerbysholidaycottages.co.uk/wp-content/themes/sowerbys-holiday-cottages/assets/images/logo-dark.svg","image/svg+xml","200","OK","Indexable","","","113","","https://www.sowerbysholidaycottages.co.uk/wp-content/themes/sowerbys-holiday-cottages/assets/images/logo-dark.svg"
"https://www.sowerbysholidaycottages.co.uk/inspiration/seasonal-guides/","text/html; charset=UTF-8","200","OK","Indexable","","d76ed3293753d6966e0e1f3da4814b4d","70","https://www.sowerbysholidaycottages.co.uk/inspiration/seasonal-guides/","https://www.sowerbysholidaycottages.co.uk/inspiration/seasonal-guides/"
"https://www.sowerbysholidaycottages.co.uk/wp-content/themes/sowerbys-holiday-cottages/js/slick.min.js","application/javascript","200","OK","Indexable","","","101","","https://www.sowerbysholidaycottages.co.uk/wp-content/themes/sowerbys-holiday-cottages/js/slick.min.js"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search/?start_date=&duration=&sleeps=10&dogs=&property=&bedrooms=&bathrooms=&village=","text/html; charset=UTF-8","200","OK","Non-Indexable","Canonicalised","e6bb3209ccba7ed0105060f7247e0d3","151","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search/","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search/?start_date=&duration=&sleeps=10&dogs=&property=&bedrooms=&bathrooms=&village="
"https://www.sowerbysholidaycottages.co.uk/wp-content/themes/sowerbys-holiday-cottages/css/slick-theme.css?ver=1674500144","text/css","200","OK","Indexable","","","120","","https://www.sowerbysholidaycottages.co.uk/wp-content/themes/sowerbys-holiday-cottages/css/slick-theme.css?ver=1674500144"
"https://www.sowerbysholidaycottages.co.uk/holiday-cottage-owner-information/","text/html; charset=UTF-8","200","OK","Indexable","","f4926ddccdf136e2d27c909d20a65d4f","76","https://www.sowerbysholidaycottages.co.uk/holiday-cottage-owner-information/","https://www.sowerbysholidaycottages.co.uk/holiday-cottage-owner-information/"
"https://www.sowerbysholidaycottages.co.uk/wp-content/plugins/instagram-feed/js/sbi-scripts.min.js?ver=6.10.1","application/javascript","200","OK","Indexable","","","108","","https://www.sowerbysholidaycottages.co.uk/wp-content/plugins/instagram-feed/js/sbi-scripts.min.js?ver=6.10.1"
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-features/dogs-accepted/","text/html; charset=UTF-8","200","OK","Indexable","","397a259bffaa5cb3f1d654bb302e5bf7","89","https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-features/dogs-accepted/","https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-features/dogs-accepted/"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/aster-house/","text/html; charset=UTF-8","200","OK","Indexable","","f2020d93f5b9d224efb58cdbf9588a92","79","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/aster-house/","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/aster-house/"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/3-the-old-school/","text/html; charset=UTF-8","200","OK","Indexable","","f6e49396df2cfb30fa0c9bd005f531b8","84","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/3-the-old-school/","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/3-the-old-school/"
"https://www.sowerbysholidaycottages.co.uk/wp-content/uploads/2022/11/hot-tub.svg","image/svg+xml","200","OK","Indexable","","","80","","https://www.sowerbysholidaycottages.co.uk/wp-content/uploads/2022/11/hot-tub.svg"
"https://www.sowerbysholidaycottages.co.uk/wp-content/uploads/2022/11/wifi.svg","image/svg+xml","200","OK","Indexable","","","77","","https://www.sowerbysholidaycottages.co.uk/wp-content/uploads/2022/11/wifi.svg"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/channel-view-and-cottage/","text/html; charset=UTF-8","200","OK","Indexable","","86ca07645979f57531eef6d0ff811ada","92","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/channel-view-and-cottage/","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/channel-view-and-cottage/"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/3-marshland-barns/","text/html; charset=UTF-8","200","OK","Indexable","","1080cabf89bb8859dfff6f848536e6d5","85","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/3-marshland-barns/","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/3-marshland-barns/"
