"Type","Source","Destination","Anchor Text","Alt Text","Path Type"
"CSS","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/crowberry-barn/","https://code.jquery.com/ui/1.13.1/themes/base/jquery-ui.css?ver=6.9.4","","","Protocol-Relative"
"CSS","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/close-cottage/","https://code.jquery.com/ui/1.13.1/themes/base/jquery-ui.css?ver=6.9.4","","","Protocol-Relative"
"CSS","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/sunnyvale/","https://code.jquery.com/ui/1.13.1/themes/base/jquery-ui.css?ver=6.9.4","","","Protocol-Relative"
"CSS","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/nelson-cottage/","https://code.jquery.com/ui/1.13.1/themes/base/jquery-ui.css?ver=6.9.4","","","Protocol-Relative"
"CSS","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/sybil-cottage/","https://code.jquery.com/ui/1.13.1/themes/base/jquery-ui.css?ver=6.9.4","","","Protocol-Relative"
"CSS","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/the-old-forge/","https://code.jquery.com/ui/1.13.1/themes/base/jquery-ui.css?ver=6.9.4","","","Protocol-Relative"
"CSS","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/slumber-barn-5-bedrooms/","https://code.jquery.com/ui/1.13.1/themes/base/jquery-ui.css?ver=6.9.4","","","Protocol-Relative"
"CSS","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/flagstaff-cottage/","https://code.jquery.com/ui/1.13.1/themes/base/jquery-ui.css?ver=6.9.4","","","Protocol-Relative"
"CSS","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/the-old-post-office/","https://code.jquery.com/ui/1.13.1/themes/base/jquery-ui.css?ver=6.9.4","","","Protocol-Relative"
"CSS","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/the-dairy-barn/","https://code.jquery.com/ui/1.13.1/themes/base/jquery-ui.css?ver=6.9.4","","","Protocol-Relative"
