"Address","Indexability","Indexability Status","Crawl Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/the-dairy-barn/","Indexable","","2","","53","11","0","3.120","41","32","0","45","45","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/oak-tree-cottage/","Indexable","","2","","36","8","0","2.270","41","32","0","35","35","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/1-king-william-cottage/","Indexable","","2","","23","5","0","1.420","41","32","0","33","33","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/flagstaff-boathouse/","Indexable","","2","","46","9","0","2.550","41","32","0","30","30","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/1-crarves/","Indexable","","2","","33","7","0","1.980","41","32","0","30","30","0"
"https://www.sowerbysholidaycottages.co.uk/map-search/?start_date=&duration=&sleeps=&dogs=&village=&bedrooms=&bathrooms=&property=&special_offer=yes","Non-Indexable","noindex","2","","8","3","0","0.850","39","31","0","2","2","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/the-paddock/","Indexable","","2","","46","10","0","2.830","41","32","0","32","32","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/beehive-cottage/","Indexable","","2","","33","7","0","1.980","41","32","0","30","30","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/eider-cottage/","Indexable","","2","","42","9","0","2.550","41","32","0","38","38","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/mandalay/","Indexable","","2","","33","7","0","1.980","41","32","0","31","31","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/eton-house/","Indexable","","2","","33","7","0","1.980","41","32","0","36","36","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/michaelmas/","Indexable","","2","","39","9","0","2.550","41","32","0","36","36","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/flagstaff-east/","Indexable","","2","","43","9","0","2.550","41","32","0","30","30","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/mill-view/","Indexable","","2","","33","7","0","1.980","41","32","0","32","32","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/3-marshland-barns-2-bedrooms/","Indexable","","2","","46","10","0","2.830","41","32","0","34","34","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/2-railway-cottages/","Indexable","","2","","33","7","0","1.980","41","32","0","31","31","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/channel-cottage/","Indexable","","2","","36","8","0","2.270","41","32","0","23","23","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/western-cottage/","Indexable","","2","","33","7","0","1.980","41","32","0","34","34","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/hill-top-docking/","Indexable","","2","","33","7","0","1.980","41","32","0","25","25","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/eider-cottage-2-bedrooms/","Indexable","","2","","39","9","0","2.550","41","32","0","31","31","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/the-loft/","Indexable","","2","","46","10","0","2.830","41","32","0","28","28","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/4-hare-cottage/","Indexable","","2","","26","6","0","1.700","41","32","0","30","30","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/bridge-farm-barn/","Indexable","","2","","33","7","0","1.980","41","32","0","32","32","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/channel-view/","Indexable","","2","","39","8","0","2.270","41","32","0","25","25","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/the-dairy-barn-3-bedrooms/","Indexable","","2","","46","10","0","2.830","41","32","0","44","44","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/flagstaff-west/","Indexable","","2","","43","9","0","2.550","41","32","0","33","33","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/flagstaff-garden-house/","Indexable","","2","","46","10","0","2.830","41","32","0","28","28","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/eton-house-2-bedrooms/","Indexable","","2","","36","8","0","2.270","41","32","0","33","33","0"
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-villages/harpley/","Indexable","","2","","7","3","0","0.850","39","31","0","3","3","0"
