"Address","Status Code","Status","HTML Word Count","Rendered HTML Word Count","Word Count Change","JS Word Count %","HTML Title","Rendered HTML Title","HTML H1","Rendered HTML H1","HTML Meta Description","Rendered HTML Meta Description","HTML Canonical","Rendered HTML Canonical","Unique Inlinks","Unique JS Inlinks","Unique Outlinks","Unique JS Outlinks","Unique External Outlinks","Unique External JS Outlinks","HTML Meta Robots 1","Rendered HTML Meta Robots 1","Pretty URL","Ugly URL","JS Error","JS Warning","JS Info","JS Debug","JS Issue"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/linksway/","200","OK","2319","0","","","Norfolk Holiday Cottage to rent in Brancaster - Linksway","","Linksway","","Linksway is a holiday cottage to rent, located in Brancaster, Norfolk. The cottage sleeps 8.","","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/linksway/","","5","0","32","0","43","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/linksway/","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/linksway/","","","","",""
"https://www.sowerbysholidaycottages.co.uk/map-search/?start_date=&duration=&sleeps=&dogs=&villageorproperty=&bedrooms=&bathrooms=&dogs_by_arrangement=yes&dogs_accepted=yes","200","OK","68","0","","","Map Search - Sowerbys Holiday Cottages","","","","","","","","2","0","31","0","2","0","noindex, follow","","https://www.sowerbysholidaycottages.co.uk/map-search/?start_date=&duration=&sleeps=&dogs=&villageorproperty=&bedrooms=&bathrooms=&dogs_by_arrangement=yes&dogs_accepted=yes","https://www.sowerbysholidaycottages.co.uk/map-search/?start_date=&duration=&sleeps=&dogs=&villageorproperty=&bedrooms=&bathrooms=&dogs_by_arrangement=yes&dogs_accepted=yes","","","","",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/pickles-cottage/","200","OK","2798","0","","","Norfolk Holiday Cottage to rent in Holme-next-the-Sea - Pickles Cottage","","Pickles Cottage","","Pickles Cottage is a holiday cottage to rent, located in Holme-next-the-Sea, Norfolk. The cottage sleeps 8.","","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/pickles-cottage/","","5","0","32","0","33","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/pickles-cottage/","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/pickles-cottage/","","","","",""
"https://www.sowerbysholidaycottages.co.uk/property-details-print/?propertyID=3282","200","OK","1237","0","","","Sowerbys Holiday Cottages | Property details for Little Barwick","","Property Details","","Sowerbys Holiday Cottages. Established local agency offering the finest holiday cottages in coastal North Norfolk.","","","","2","0","1","0","0","0","NOINDEX, NOFOLLOW","","https://www.sowerbysholidaycottages.co.uk/property-details-print/?propertyID=3282","https://www.sowerbysholidaycottages.co.uk/property-details-print/?propertyID=3282","","","","",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/holly-house-2-bedrooms/","200","OK","2571","0","","","Norfolk Holiday Cottage to rent in South Creake - Holly House 2 bedrooms","","Holly House 2 bedrooms","","Holly House 2 bedrooms is a holiday cottage to rent, located in South Creake, Norfolk. The cottage sleeps 4.","","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/holly-house-2-bedrooms/","","5","0","32","0","29","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/holly-house-2-bedrooms/","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/holly-house-2-bedrooms/","","","","",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/la-mouette/","200","OK","3454","0","","","Norfolk Holiday Cottage to rent in Burnham Market - La Mouette","","La Mouette","","La Mouette is a holiday cottage to rent, located in Burnham Market, Norfolk. The cottage sleeps 6.","","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/la-mouette/","","5","0","32","0","33","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/la-mouette/","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/la-mouette/","","","","",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/badgets/","200","OK","3630","0","","","Norfolk Holiday Cottage to rent in Docking - Badgets","","Badgets","","Badgets is a holiday cottage to rent, located in Docking, Norfolk. The cottage sleeps 10.","","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/badgets/","","6","0","32","0","30","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/badgets/","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/badgets/","","","","",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/saffron-cottage/","200","OK","2693","0","","","Norfolk Holiday Cottage to rent in Burnham Market - Saffron Cottage","","Saffron Cottage","","Saffron Cottage is a holiday cottage to rent, located in Burnham Market, Norfolk. The cottage sleeps 4.","","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/saffron-cottage/","","4","0","32","0","26","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/saffron-cottage/","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/saffron-cottage/","","","","",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/garden-folly/","200","OK","2700","0","","","Norfolk Holiday Cottage to rent in Burnham Market - Garden Folly","","Garden Folly","","Garden Folly is a holiday cottage to rent, located in Burnham Market, Norfolk. The cottage sleeps 2.","","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/garden-folly/","","4","0","32","0","28","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/garden-folly/","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/garden-folly/","","","","",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/5-monteagle/","200","OK","4329","0","","","Norfolk Holiday Cottage to rent in Wells-next-the-Sea - 5 Monteagle","","5 Monteagle","","5 Monteagle is a holiday cottage to rent, located in Wells-next-the-Sea, Norfolk. The cottage sleeps 4.","","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/5-monteagle/","","4","0","32","0","29","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/5-monteagle/","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/5-monteagle/","","","","",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/jeeves-retreat/","200","OK","1708","0","","","Norfolk Holiday Cottage to rent in Old Hunstanton - Jeeves Retreat","","Jeeves Retreat","","Jeeves Retreat is a holiday cottage to rent, located in Old Hunstanton, Norfolk. The cottage sleeps 8.","","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/jeeves-retreat/","","4","0","32","0","37","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/jeeves-retreat/","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/jeeves-retreat/","","","","",""
